species,ID,visual.system,Global Patch Covariance
Trophytaker Daylily,030_ 1,bee,-3.08E+03
Trophytaker Daylily,030_ 2,bee,-3.07E+03
Trophytaker Daylily,030_ 3,bee,-3.11E+03
Trophytaker Daylily,031_ 1,bee,-3.09E+03
Trophytaker Daylily,031_ 2,bee,-3.09E+03
Trophytaker Daylily,031_ 3,bee,-3.12E+03
Trophytaker Daylily,032_ 1,bee,-3.09E+03
Trophytaker Daylily,032_ 2,bee,-3.04E+03
Trophytaker Daylily,032_ 3,bee,-3.11E+03
Trophytaker Daylily,033_ 1,bee,-3.07E+03
Trophytaker Daylily,033_ 2,bee,-3.07E+03
Trophytaker Daylily,033_ 3,bee,-3.11E+03
Stella de Oro Daylily,024_ 1,bee,-3.07E+03
Stella de Oro Daylily,024_ 2,bee,-3.08E+03
Stella de Oro Daylily,024_ 3,bee,-3.08E+03
Stella de Oro Daylily,025_ 1,bee,-3.12E+03
Stella de Oro Daylily,025_ 2,bee,-3.11E+03
Stella de Oro Daylily,025_ 3,bee,-3.09E+03
Stella de Oro Daylily,026_ 1,bee,-3.13E+03
Stella de Oro Daylily,026_ 2,bee,-3.15E+03
Stella de Oro Daylily,026_ 3,bee,-3.11E+03
Stella de Oro Daylily,027_ 1,bee,-3.11E+03
Stella de Oro Daylily,027_ 2,bee,-3.17E+03
Stella de Oro Daylily,027_ 3,bee,-3.13E+03
