species,ID,visual.system,Global Patch Covariance
Trophytaker Daylily,030_ 1,vis,170.8507
Trophytaker Daylily,030_ 2,vis,177.4109
Trophytaker Daylily,030_ 3,vis,165.2929
Trophytaker Daylily,031_ 1,vis,139.6748
Trophytaker Daylily,031_ 2,vis,160.7193
Trophytaker Daylily,031_ 3,vis,174.9546
Trophytaker Daylily,032_ 1,vis,156.9061
Trophytaker Daylily,032_ 2,vis,198.8637
Trophytaker Daylily,032_ 3,vis,160.4748
Trophytaker Daylily,033_ 1,vis,143.3888
Trophytaker Daylily,033_ 2,vis,185.2897
Trophytaker Daylily,033_ 3,vis,181.8772
Stella de Oro Daylily,024_ 1,vis,29.0731
Stella de Oro Daylily,024_ 2,vis,10.3748
Stella de Oro Daylily,024_ 3,vis,7.3081
Stella de Oro Daylily,025_ 1,vis,2.5205
Stella de Oro Daylily,025_ 2,vis,19.6417
Stella de Oro Daylily,025_ 3,vis,-4.4209
Stella de Oro Daylily,026_ 1,vis,27.6706
Stella de Oro Daylily,026_ 2,vis,-39.2325
Stella de Oro Daylily,026_ 3,vis,14.6507
Stella de Oro Daylily,027_ 1,vis,64.8371
Stella de Oro Daylily,027_ 2,vis,72.267
Stella de Oro Daylily,027_ 3,vis,67.3157
