Image path,Pixelwise Shannon Entropy,Average Local Entropies,Frequency-weighted Mean Coefficient,Local Patch Covariance,Average Gradient Magnitude,Pixelwise Differential Entropy,Patchwise Differential Entropy,Global Patch Covariance,Pairwise Mean Distances,Pairwise Moment Distances,Wavelet Detail Coef,PWG Jeffreys Divergence,PWG Wass2 Divergence,PWG Hellinger Divergence,PWG Bhattacharyya Divergence,PWG FM-ATF Divergence
re-do/equestris_Mahler_1319_blurred.png,3.5162e+00,1.1506e+00,7.8735e+00,2.0796e-01,1.9828e-03,-5.7622e+01,-1.4067e+02,0.0000e+00,2.6741e-02,3.2245e-02,5.5444e-04,2.2054e+02,9.0780e-03,9.9655e-01,7.1870e+00,1.0633e+01
re-do/cuvieri_0123_aVIS_blurred.png,3.8686e+00,1.4899e+00,7.6667e+00,4.9928e-01,2.0823e-03,-4.9774e+01,-1.1647e+02,0.0000e+00,5.0448e-02,6.0646e-02,8.4736e-04,2.0467e+02,4.4031e-02,9.8695e-01,1.8194e+00,9.7421e+00
re-do/baracoae_m1_blurred.png,3.8075e+00,1.4488e+00,7.7632e+00,2.6447e-01,2.1954e-03,-5.7280e+01,-1.3180e+02,0.0000e+00,3.2551e-02,4.3315e-02,7.8580e-04,1.2808e+02,1.4819e-02,9.9113e-01,-4.6372e+00,7.1784e+00
re-do/equestris_persparsus_Mahler_0305_blurred.png,3.5843e+00,1.3275e+00,7.7359e+00,4.1417e-01,1.9742e-03,-5.5414e+01,-1.2184e+02,0.0000e+00,2.2158e-02,2.8077e-02,8.8362e-04,1.0971e+02,5.6872e-03,9.9454e-01,-5.6782e+00,7.5477e+00
re-do/baleatus_fraudator_DLM_DR2011_08_blurred.png,4.5671e+00,1.8225e+00,7.5033e+00,1.6703e+00,3.1555e-03,-2.5679e+01,-9.3592e+01,0.0000e+00,9.6629e-02,1.2143e-01,3.7167e-03,1.6630e+03,1.4570e-01,9.4971e-01,9.6229e+01,1.6538e+01
re-do/noblei_m1_blurred.png,3.3316e+00,1.2133e+00,7.8389e+00,8.3252e-02,1.9660e-03,-5.9952e+01,-1.5469e+02,0.0000e+00,2.4464e-02,2.9786e-02,6.1264e-04,4.9491e+02,8.7754e-03,9.9876e-01,-1.5412e+00,9.8111e+00
re-do/baleatus_sublimis_Mahler_2079_blurred.png,4.4659e+00,1.8526e+00,7.7681e+00,1.8405e+00,3.2285e-03,-2.4451e+01,-9.3460e+01,0.0000e+00,6.2792e-02,7.8618e-02,3.4073e-03,4.3388e+02,5.3758e-02,9.5366e-01,2.7202e+01,1.2084e+01
re-do/ricordii_viculus_Mahler_1184_blurred.png,3.5874e+00,1.5260e+00,7.3302e+00,1.2047e+00,2.2091e-03,-4.2819e+01,-1.0430e+02,0.0000e+00,4.9610e-02,6.2878e-02,2.0182e-03,3.5845e+02,4.3339e-02,9.7458e-01,1.6886e+01,1.0455e+01
re-do/baleatus_caeruleolatus_Mahler_2258_blurred.png,4.0628e+00,1.7382e+00,7.7907e+00,1.5145e+00,3.3280e-03,-3.6677e+01,-9.2175e+01,0.0000e+00,5.4305e-02,7.0495e-02,3.2237e-03,9.1831e+01,4.6978e-02,9.6482e-01,-3.8127e+00,6.8811e+00
re-do/baleatus_sedis_Mahler_1998_blurred.png,4.2391e+00,1.5776e+00,7.5740e+00,1.5021e+00,2.6430e-03,-2.9522e+01,-9.8415e+01,0.0000e+00,9.3040e-02,1.1097e-01,2.5573e-03,4.2337e+02,1.2401e-01,9.4297e-01,1.0638e+01,1.2500e+01
re-do/smallwoodi_palardis_Mahler_1829_blurred.png,3.1477e+00,1.3056e+00,7.8260e+00,2.5048e-01,2.2212e-03,-5.7968e+01,-1.2993e+02,0.0000e+00,2.7963e-02,3.6543e-02,6.9720e-04,1.3884e+02,1.5030e-02,9.9628e-01,1.6053e+00,9.4901e+00
re-do/baleatus_litorisilva_Mahler_2374_blurred.png,3.8938e+00,1.4583e+00,7.8361e+00,8.2923e-01,2.6696e-03,-4.5167e+01,-1.0407e+02,0.0000e+00,5.9137e-02,7.2280e-02,1.9625e-03,2.4780e+02,5.7592e-02,9.8795e-01,-3.4604e+00,8.2148e+00
re-do/baleatus_scelestus_Mahler_1668_blurred.png,3.8651e+00,1.4729e+00,7.8343e+00,8.0398e-01,2.3888e-03,-5.1230e+01,-1.1092e+02,0.0000e+00,5.2669e-02,6.1566e-02,1.4449e-03,1.6682e+02,4.0632e-02,9.9376e-01,-3.6115e+00,7.6439e+00
re-do/baleatus_litorisilva_Mahler_2373_blurred.png,4.0163e+00,1.5106e+00,7.7104e+00,1.1182e+00,2.8021e-03,-4.2296e+01,-9.9756e+01,0.0000e+00,8.4312e-02,1.0527e-01,2.5672e-03,1.7187e+02,1.1990e-01,9.8133e-01,5.5283e+00,9.7900e+00
re-do/equestris_persparsus_Mahler_0308_blurred.png,3.2115e+00,1.1582e+00,7.9205e+00,1.2973e-01,2.1070e-03,-5.9362e+01,-1.4168e+02,0.0000e+00,2.6105e-02,3.1087e-02,6.2736e-04,1.5277e+02,9.4656e-03,9.9908e-01,6.7635e+00,9.3704e+00
re-do/smallwoodi_palardis_Mahler_1827_blurred.png,2.9805e+00,1.1577e+00,7.8518e+00,9.3035e-02,2.1405e-03,-5.9676e+01,-1.8113e+02,0.0000e+00,2.8346e-02,3.7955e-02,4.7484e-04,1.7965e+02,1.8936e-02,9.9720e-01,-2.3383e+00,8.4756e+00
re-do/cuvieri_0007_aVIS_blurred.png,3.8882e+00,1.5839e+00,7.7374e+00,6.4824e-01,2.3402e-03,-4.8736e+01,-1.1156e+02,0.0000e+00,4.1933e-02,5.3010e-02,1.1183e-03,7.6661e+01,3.1930e-02,9.8319e-01,-4.0962e+00,7.1891e+00
re-do/baleatus_fraudator_DLM_DR2011_09_blurred.png,3.7992e+00,1.3943e+00,7.5952e+00,8.1701e-01,2.2175e-03,-4.3349e+01,-1.1211e+02,0.0000e+00,9.1308e-02,1.0619e-01,1.6648e-03,7.0475e+02,1.4546e-01,9.8375e-01,5.1845e+01,1.2696e+01
re-do/luteogularis_CHC_977OG_blurred.png,4.1890e+00,1.4850e+00,7.6807e+00,5.8231e-01,2.0420e-03,-5.1087e+01,-1.1458e+02,0.0000e+00,4.0293e-02,5.3189e-02,1.0579e-03,2.2861e+02,2.5702e-02,9.9056e-01,1.1779e+01,9.4793e+00
re-do/cuvieri_POE3639_blurred.png,3.5229e+00,1.2033e+00,7.8184e+00,1.7649e-01,1.9240e-03,-5.8601e+01,-1.3177e+02,0.0000e+00,2.5770e-02,3.1817e-02,6.2917e-04,8.0242e+01,8.5690e-03,9.9842e-01,-4.2107e+00,7.3110e+00
re-do/ricordii_7790_blurred.png,4.2344e+00,1.7292e+00,7.7034e+00,1.0528e+00,2.8189e-03,-5.2855e+01,-1.0436e+02,0.0000e+00,4.0141e-02,5.0331e-02,2.4560e-03,3.1783e+01,2.2324e-02,9.9541e-01,-6.9961e+00,5.9375e+00
re-do/noblei_Poe_Steven_LaMula_blurred.png,3.8694e+00,1.4679e+00,7.8175e+00,6.5704e-01,2.2552e-03,-5.5217e+01,-1.1405e+02,0.0000e+00,3.1580e-02,3.9351e-02,1.1832e-03,7.4490e+01,1.3545e-02,9.9675e-01,-3.1389e+00,8.1719e+00
re-do/ricordii_7799_blurred.png,4.2084e+00,1.5912e+00,7.8398e+00,7.3602e-01,2.6950e-03,-5.5232e+01,-1.1018e+02,0.0000e+00,4.6534e-02,5.8085e-02,1.9887e-03,1.1296e+02,3.1585e-02,9.9698e-01,-4.3219e+00,7.4132e+00
re-do/cuvieri_0134_aVIS_blurred.png,3.8791e+00,1.4858e+00,7.7260e+00,6.2772e-01,2.1751e-03,-5.0432e+01,-1.1618e+02,0.0000e+00,4.1817e-02,5.0556e-02,8.7717e-04,8.5363e+01,2.4821e-02,9.9063e-01,-2.4087e+00,7.8386e+00
re-do/baleatus_scelestus_Mahler_1669_blurred.png,4.5237e+00,1.7499e+00,7.6006e+00,1.2734e+00,2.4399e-03,-2.7106e+01,-1.0026e+02,0.0000e+00,7.9540e-02,9.4499e-02,2.0477e-03,5.7833e+02,8.0071e-02,9.6689e-01,5.2441e+00,1.0830e+01
re-do/luteogularis_CHC_933_blurred.png,3.6565e+00,1.1269e+00,7.8552e+00,1.0886e-01,1.9628e-03,-5.9727e+01,-1.3890e+02,0.0000e+00,2.9769e-02,3.5116e-02,6.0939e-04,1.7289e+02,1.0823e-02,9.9936e-01,8.2935e+00,1.1357e+01
